code;info
b;Kruinige percelen
d;Plaatselijk verdrogende lagen in de bovengrond
eM;Zoete getijdenafzetting, ten minste 40 cm dik
eR;Getijdenafzetting, 15 a 40 cm dik, op rivierklei
f;Plaatselijk ijzerrijk, binnen 50 cm beginnend en tenminste 10 cm dik
g;Grind ondieper dan 40 cm beginnend
h;Kolenslik in de bovengrond, 15 a 40 cm dik
k;Zavel- of kleidek, 15 a 40 cm dik
l;Lossdek, 15 a 40 cm dik
m;Stenen in de bovengrond
n;Plaatselijk zout
o;Opgebracht moerig toemaakdek
s;Zandek, 5 a 15 cm dik
u;Leiig, uiterst fijn silt- of zanddek, 15 a 40 cm dik
z;Zandek, 15 a 40 cm dik
h;Kolenslik in de bovengrond, 15 a 40 cm dik
fk;Zavel- of kleidek, 15 a 40 cm dik. Plaatselijk ijzerrijk, binnen 50 cm beginnend en tenminste 10 cm dik. 
kg;Zavel- of kleidek, 15 a 40 cm dik. Grind ondieper dan 40 cm beginnend.
nk;Zavel- of kleidek, 15 a 40 cm dik. Plaatselijk zout.
zg;Zandek, 15 a 40 cm dik. Zandek, 15 a 40 cm dik.